camera;date;time;none;some;many;shoal;eats;jumps;against;collision;surfacefish;right;left;changes;surfacevis;netvis;swim
East;04.12.2019;10:15:00;212;88;0;0;0;0;0;0;ja;4;0;0;ja;ja;296
East;04.12.2019;12:15:00;40;260;0;0;5;7;0;NA;ja;0;0;0;ja;nei;300
East;04.12.2019;14:15:00;56;244;0;0;2;2;0;NA;ja;0;0;0;ja;nei;300
East;05.12.2019;10:15:00;162;138;0;0;0;4;0;NA;ja;0;0;0;ja;nei;300
East;05.12.2019;12:15:00;97;203;0;0;0;0;0;6;ja;0;21;0;ja;ja;279
East;05.12.2019;14:15:00;0;297;3;0;2;2;0;NA;ja;0;0;0;ja;nei;300
East;08.12.2019;10:15:00;144;156;0;0;0;1;0;7;ja;3;5;2;ja;ja;292
East;13.12.2019;10:20:00;300;0;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;13.12.2019;12:20:00;300;0;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;13.12.2019;14:20:00;300;0;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;15.12.2019;12:20:00;91;209;0;0;0;4;0;NA;ja;0;0;0;ja;nei;300
East;15.12.2019;14:20:00;300;0;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;17.12.2019;10:20:00;7;241;52;0;0;0;0;NA;ja;13;31;3;ja;nei;256
East;17.12.2019;12:20:00;300;0;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;17.12.2019;14:20:00;300;0;0;0;0;0;0;NA;ja;0;0;0;ja;nei;300
East;20.12.2019;10:20:00;0;0;300;0;0;2;0;NA;ja;17;20;3;ja;nei;263
East;20.12.2019;12:20:00;200;100;0;0;0;0;0;5;ja;0;0;0;ja;ja;300
East;20.12.2019;14:20:00;40;174;86;0;0;4;0;NA;ja;0;0;0;ja;nei;300
East;05.01.2020;10:20:00;5;295;0;0;20;7;0;NA;ja;0;0;0;ja;nei;300
East;06.01.2020;10:20:00;17;239;44;0;0;0;0;5;ja;0;0;0;ja;ja;300
East;06.01.2020;12:20:00;9;291;0;0;0;2;0;NA;ja;0;0;0;ja;nei;300
East;06.01.2020;14:20:00;4;296;0;0;0;1;0;4;ja;0;0;0;ja;ja;300
East;07.01.2020;10:20:00;83;217;0;0;0;1;0;1;ja;0;0;0;ja;ja;300
East;12.01.2020;10:20:00;117;183;0;0;0;0;0;0;ja;0;0;0;ja;ja;300
East;12.01.2020;12:20:00;30;270;0;0;0;0;0;3;ja;0;0;0;ja;ja;300
East;12.01.2020;14:20:00;102;198;0;0;0;0;0;NA;ja;0;0;0;ja;nei;300
East;19.01.2020;10:20:00;67;233;0;0;0;1;0;NA;ja;0;0;0;ja;nei;300
East;20.01.2020;10:20:00;0;300;0;0;0;1;0;NA;ja;0;0;0;ja;nei;300
East;20.01.2020;12:20:00;58;242;0;0;0;3;0;NA;ja;0;0;0;ja;nei;300
East;20.01.2020;14:20:00;0;300;0;0;0;2;0;7;ja;0;0;0;ja;ja;300
East;24.01.2020;10:20:00;18;264;18;0;0;2;0;NA;ja;0;0;0;ja;nei;300
East;24.01.2020;12:20:00;110;190;0;0;0;0;149;4;NA;0;0;0;nei;ja;151
East;24.01.2020;14:20:00;0;300;0;0;0;4;0;NA;ja;0;0;0;ja;nei;300
East;26.01.2020;10:20:00;300;0;0;0;0;0;0;2;NA;0;0;0;nei;ja;300
East;08.02.2020;09:20:00;0;300;0;0;0;9;0;NA;ja;0;0;0;ja;nei;300
East;08.02.2020;12:20:00;300;0;0;0;0;0;0;0;nei;0;0;0;ja;ja;300
East;08.02.2020;15:20:00;261;39;0;0;0;3;0;NA;ja;0;0;0;ja;nei;300
East;09.02.2020;09:20:00;84;178;38;0;0;2;0;1;ja;0;0;0;ja;ja;300
East;09.02.2020;12:20:00;253;47;0;0;0;0;13;1;nei;0;0;0;ja;ja;287
East;09.02.2020;15:20:00;58;242;0;0;0;0;0;NA;nei;0;0;0;ja;nei;300
North;03.11.2019;08:20:00;48;252;0;0;0;0;0;0;;0;0;0;nei;ja;300
North;01.12.2019;09:20:00;93;187;20;0;0;0;0;8;;0;0;0;ja;nei;300
North;04.12.2019;10:20:00;0;75;225;0;0;0;0;18;;0;0;0;ja;nei;300
North;04.12.2019;12:20:00;10;155;135;0;0;0;0;8;;0;0;0;ja;nei;300
North;04.12.2019;14:20:00;22;273;5;0;0;0;0;8;;0;0;0;ja;nei;300
North;05.12.2019;10:20:00;0;9;238;53;0;0;0;0;;0;0;0;nei;nei;300
North;05.12.2019;12:20:00;6;182;112;0;0;0;0;15;;0;0;0;ja;nei;300
North;05.12.2019;14:20:00;68;183;49;0;0;0;19;4;;0;0;0;ja;nei;281
North;11.12.2019;10:20:00;0;0;186;114;0;0;0;0;;0;0;0;nei;nei;300
North;11.12.2019;12:20:00;0;58;104;138;0;0;127;12;;0;0;0;ja;nei;173
North;11.12.2019;14:20:00;0;60;201;39;0;0;0;5;;0;0;0;ja;nei;300
In;10.12.2019;12:14:00;56;244;0;0;0;0;0;0;ja;41;14;4;ja;nei;245
In;10.12.2019;14:14:00;46;181;31;42;0;2;0;0;ja;96;43;5;ja;nei;161
In;11.12.2019;10:14:00;0;242;15;43;0;1;0;0;ja;89;38;5;ja;nei;173
In;11.12.2019;12:14:00;207;93;0;0;0;3;0;0;nei;0;0;0;ja;nei;300
In;11.12.2019;14:14:00;87;190;0;23;0;0;0;0;NA;42;42;2;nei;nei;216
In;13.12.2019;10:14:00;0;0;198;102;0;0;23;0;ja;67;35;4;ja;nei;175
In;13.12.2019;12:14:00;0;300;0;0;0;5;0;0;ja;0;0;0;ja;nei;300
In;13.12.2019;14:14:00;0;296;0;4;0;2;0;0;ja;4;0;0;ja;nei;296
In;15.12.2019;10:14:00;0;72;171;57;0;2;155;0;NA;19;25;4;nei;nei;101
In;15.12.2019;12:14:00;0;102;198;0;0;0;0;0;NA;63;67;3;nei;nei;170
In;20.12.2019;10:14:00;0;220;55;25;0;0;0;0;NA;0;11;0;nei;nei;289
In;20.12.2019;12:14:00;0;0;0;300;0;1;300;0;ja;0;0;0;ja;nei;0
In;20.12.2019;14:14:00;0;0;0;300;0;0;300;0;ja;0;0;0;ja;nei;0
In;07.01.2020;10:14:00;0;0;300;0;0;0;0;0;NA;56;120;6;nei;nei;124
In;12.01.2020;10:14:00;33;166;0;101;0;0;80;0;NA;87;46;3;nei;nei;87
In;12.01.2020;12:14:00;0;177;123;0;0;0;0;0;ja;91;83;6;ja;nei;126
In;12.01.2020;14:14:00;55;245;0;0;0;2;6;0;ja;23;43;6;ja;nei;228
In;19.01.2020;10:14:00;0;115;174;11;0;0;0;0;ja;96;105;7;ja;nei;99
In;20.01.2020;10:14:00;5;295;0;0;0;6;0;0;nei;97;81;11;ja;nei;122
In;20.01.2020;12:14:00;91;209;0;0;0;1;0;0;nei;5;0;0;ja;nei;295
In;20.01.2020;14:14:00;14;286;0;0;0;2;121;0;ja;0;3;0;ja;nei;176
In;24.01.2020;10:14:00;63;193;40;4;0;0;0;0;NA;0;19;0;nei;nei;281
In;24.01.2020;12:14:00;300;0;0;0;0;0;0;0;nei;0;0;0;ja;nei;300
In;24.01.2020;14:14:00;0;24;92;184;0;0;0;0;NA;69;128;4;nei;nei;103
In;26.01.2020;10:14:00;0;112;178;10;0;0;29;0;NA;0;50;0;nei;nei;221
In;08.02.2020;12:14:00;42;258;0;0;0;5;18;0;ja;6;0;0;ja;nei;276
In;17.12.2019;10:14:00;0;144;88;68;0;0;0;0;NA;42;83;7;nei;nei;175
In;17.12.2019;12:14:00;0;81;179;40;0;0;31;0;NA;57;71;4;nei;nei;141
In;17.12.2019;14:14:00;0;0;285;15;0;0;47;0;NA;81;29;4;nei;nei;143
In;05.01.2020;10:14:00;0;21;180;99;0;0;0;0;ja;32;80;4;ja;nei;188
In;06.01.2020;10:14:00;5;248;47;0;0;9;0;0;ja;74;72;6;ja;nei;154
In;06.01.2020;12:14:00;0;0;265;35;0;0;0;0;ja;79;40;3;ja;nei;181
In;06.01.2020;14:14:00;0;118;182;0;0;0;0;0;NA;19;19;3;nei;nei;262
In;08.02.2020;09:14:00;17;146;137;0;0;0;0;0;NA;61;36;5;nei;nei;203
In;08.02.2020;15:14:00;0;0;300;0;0;0;0;0;ja;96;49;7;ja;nei;155
South;04.12.2019;10:05:00;0;0;238;62;0;0;0;0;;4;58;2;nei;ja;238
South;04.12.2019;12:05:00;6;235;14;45;0;0;0;1;;45;0;2;ja;ja;255
South;04.12.2019;14:05:00;0;26;211;63;0;0;18;3;;0;45;1;ja;ja;237
South;05.12.2019;10:05:00;0;192;99;9;0;0;0;0;;9;0;1;nei;ja;291
South;05.12.2019;12:05:00;0;116;132;52;0;0;0;0;;14;38;3;nei;ja;248
South;05.12.2019;14:05:00;0;149;151;0;0;0;0;0;;0;0;0;nei;ja;300
South;08.12.2019;10:05:00;0;0;0;300;0;0;300;6;;0;0;0;ja;nei;0
South;13.12.2019;10:05:00;0;120;180;0;0;0;87;5;;0;0;0;ja;ja;213
South;13.12.2019;12:05:00;0;0;0;300;0;0;300;14;;0;0;0;ja;nei;0
South;13.12.2019;14:05:00;0;129;171;0;0;0;170;6;;0;0;0;ja;ja;130
South;15.12.2019;10:05:00;56;46;198;0;0;0;190;14;;20;0;0;ja;nei;90
South;15.12.2019;12:05:00;0;0;300;0;0;3;0;0;;64;0;0;nei;ja;236
South;15.12.2019;14:05:00;0;0;0;300;0;0;300;5;;0;0;0;ja;nei;0
South;17.12.2019;10:05:00;0;152;92;56;0;4;0;1;;106;9;3;ja;ja;185
South;17.12.2019;12:05:00;200;59;41;0;0;0;35;0;;0;0;0;ja;ja;265
South;17.12.2019;14:05:00;0;0;0;300;0;0;300;14;;0;0;0;ja;nei;0
South;20.12.2019;10:05:00;0;300;0;0;0;0;0;2;;0;0;0;ja;ja;300
South;20.12.2019;12:05:00;0;144;156;0;0;0;58;4;;0;0;0;ja;ja;242
South;20.12.2019;14:05:00;0;80;0;220;0;0;247;1;;0;0;0;ja;ja;53
South;29.12.2019;10:05:00;0;83;136;81;0;0;245;1;;12;0;0;ja;ja;43
South;05.01.2020;10:05:00;0;140;131;29;0;0;0;0;;24;48;5;nei;nei;228
South;06.01.2020;10:05:00;0;0;300;0;0;0;0;0;;6;16;2;nei;nei;278
South;06.01.2020;12:05:00;0;0;300;0;0;0;0;0;;45;19;2;nei;nei;236
South;06.01.2020;14:05:00;0;24;276;0;0;0;0;0;;37;53;5;nei;nei;210
South;07.01.2020;10:05:00;0;0;300;0;0;0;0;0;;0;0;0;nei;nei;300
South;07.01.2020;12:05:00;0;0;0;300;0;0;300;0;;0;0;0;nei;nei;0
South;12.01.2020;10:05:00;11;80;167;42;0;0;289;0;;0;7;0;ja;nei;4
South;12.01.2020;12:05:00;0;193;107;0;0;0;0;0;;0;0;0;nei;ja;300
South;12.01.2020;14:05:00;0;236;0;64;0;0;300;0;;0;0;0;nei;ja;0
South;19.01.2020;10:05:00;0;123;93;84;0;0;0;0;;61;23;3;nei;nei;216
South;20.01.2020;10:05:00;0;80;220;0;0;0;185;0;;0;0;0;nei;nei;115
South;20.01.2020;12:05:00;0;89;211;0;0;0;0;0;;0;0;0;nei;nei;300
South;20.01.2020;14:05:00;0;269;31;0;0;0;98;0;;0;0;0;nei;nei;202
South;24.01.2020;10:05:00;0;34;214;52;0;0;67;0;;0;0;0;nei;nei;233
South;24.01.2020;12:05:00;0;0;0;300;0;0;300;0;;0;0;0;nei;nei;0
South;24.01.2020;14:05:00;0;0;55;245;0;0;300;0;;0;0;0;nei;nei;0
South;26.01.2020;10:05:00;119;62;0;119;0;0;181;7;;0;0;0;ja;nei;119
South;08.02.2020;09:05:00;0;0;0;300;0;0;300;0;;0;0;0;nei;nei;0
South;08.02.2020;12:05:00;0;0;0;300;0;0;300;0;;0;0;0;nei;nei;0
South;08.02.2020;15:05:00;0;0;135;165;0;0;258;0;;0;0;0;nei;nei;42
South;09.02.2020;09:05:00;0;0;0;300;0;0;300;0;;0;0;0;nei;nei;0
South;09.02.2020;12:05:00;0;38;0;262;0;0;300;0;;0;0;0;nei;nei;0
South;09.02.2020;15:05:00;0;0;49;251;0;0;300;0;;0;0;0;nei;nei;0
Feed;04.12.2019;10:00:00;0;242;58;0;8;4;0;0;;0;0;0;ja;nei;300
Feed;04.12.2019;12:00:00;43;257;0;0;0;7;0;0;;0;0;0;ja;nei;300
Feed;04.12.2019;14:00:00;91;209;0;0;1;4;0;0;;0;0;0;ja;nei;300
Feed;05.12.2019;10:00:00;0;135;165;0;21;4;0;0;;0;0;0;ja;nei;300
Feed;05.12.2019;12:00:00;192;108;0;0;1;2;0;0;;0;0;0;ja;nei;300
Feed;05.12.2019;14:00:00;0;0;300;0;6;2;0;0;;0;0;0;ja;nei;300
Feed;13.12.2019;10:00:00;0;13;287;0;0;0;89;0;;0;0;0;ja;nei;211
Feed;13.12.2019;12:00:00;0;46;254;0;12;1;0;0;;0;0;0;ja;nei;300
Feed;13.12.2019;14:00:00;0;0;300;0;9;0;69;0;;0;0;0;ja;nei;231
Feed;20.12.2019;10:00:00;0;189;111;0;13;3;0;0;;0;0;0;ja;nei;300
Feed;20.12.2019;12:00:00;0;244;56;0;11;9;0;0;;0;0;0;ja;nei;300
Feed;20.12.2019;14:00:00;0;18;282;0;3;7;41;0;;0;0;0;ja;nei;259
Feed;12.01.2020;10:00:00;0;219;81;0;3;1;59;0;;0;0;0;ja;nei;241
Feed;12.01.2020;12:00:00;0;0;300;0;11;1;0;0;;0;0;0;ja;nei;300
Feed;12.01.2020;14:00:00;0;300;0;0;4;5;300;0;;0;0;0;ja;nei;0
Feed;19.01.2020;10:00:00;0;174;126;0;31;3;21;0;;0;0;0;ja;nei;279
Feed;20.01.2020;10:00:00;24;264;12;0;47;1;108;0;;0;0;0;ja;nei;192
Feed;20.01.2020;12:00:00;155;145;0;0;22;1;0;0;;0;0;0;ja;nei;300
Feed;08.12.2019;10:00:00;0;173;127;0;22;1;49;0;;0;0;0;ja;nei;251
Feed;15.12.2019;10:00:00;9;190;101;0;7;0;0;0;;0;0;0;ja;nei;300
Feed;17.12.2019;12:00:00;14;137;149;0;0;3;22;0;;0;0;0;ja;nei;278
Feed;17.12.2019;14:00:00;0;255;45;0;0;8;0;0;;0;0;0;ja;nei;300
Feed;29.12.2019;10:00:00;0;55;245;0;29;1;0;0;;0;0;0;ja;nei;300
Feed;05.01.2020;10:00:00;0;177;123;0;58;9;0;0;;0;0;0;ja;nei;300
Feed;07.01.2020;10:00:00;0;101;199;0;74;7;0;0;;0;0;0;ja;nei;300
Feed;20.01.2020;14:00:00;300;0;0;0;0;4;0;0;;0;0;0;ja;nei;300
Feed;24.01.2020;10:00:00;0;11;289;0;66;4;35;0;;0;0;0;ja;nei;265
Feed;24.01.2020;12:00:00;14;252;34;0;53;5;29;0;;0;0;0;ja;nei;271
Feed;24.01.2020;14:00:00;0;127;173;0;40;3;250;0;;0;0;0;ja;nei;50
Feed;26.01.2020;10:00:00;0;0;300;0;25;0;93;0;;0;0;0;ja;nei;207
Feed;08.02.2020;09:00:00;0;131;169;0;27;2;18;0;;0;0;0;ja;nei;282
Feed;08.02.2020;12:00:00;253;47;0;0;6;2;0;0;;0;0;0;ja;nei;300
Feed;08.02.2020;15:00:00;0;300;0;0;16;3;269;0;;0;0;0;ja;nei;31
Feed;09.02.2020;09:00:00;0;0;300;0;30;1;165;0;;0;0;0;ja;nei;135
Feed;09.02.2020;12:00:00;130;170;0;0;20;0;104;0;;0;0;0;ja;nei;196
Feed;09.02.2020;15:00:00;0;236;64;0;26;4;297;0;;0;0;0;ja;nei;3
